127.0.0.1 - - [09/Jan/2017:19:27:14 +0000] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Jan/2017:19:27:26 +0000] "GET /FirstMVCProject/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [09/Jan/2017:19:27:32 +0000] "GET /FirstMVCProject/admissionForm7.html HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [09/Jan/2017:19:28:23 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:17:28 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:17:35 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:17:51 +0000] "GET /FirstMVCProject/admissionForm7.html HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:18:05 +0000] "GET /FirstMVCProject/admissionForm7.html HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:18:08 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:19:03 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:22:33 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:31:20 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:31:36 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [09/Jan/2017:20:52:14 +0000] "POST /FirstMVCProject/submitAdmissionForm7.html HTTP/1.1" 200 883
