127.0.0.1 - - [21/Apr/2017:13:18:29 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:34 +0100] "GET /PlantPlacesYAP/ HTTP/1.1" 200 9705
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:35 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:35 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:35 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:35 +0100] "GET /PlantPlacesYAP/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:36 +0100] "GET /PlantPlacesYAP/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:37 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:37 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:38 +0100] "GET /PlantPlacesYAP/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:38 +0100] "GET /PlantPlacesYAP/css/print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:40 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_60_4ca20b_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:40 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_inset-soft_10_285c00_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:40 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_72b42d_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:59 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:18:59 +0100] "GET /PlantPlacesYAP/javax.faces.resource/images/ui-bg_highlight-soft_50_4eb305_1x100.png.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:09 +0100] "GET /PlantPlacesYAP/ HTTP/1.1" 200 9705
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:11 +0100] "GET /PlantPlacesYAP/javax.faces.resource/theme.css.xhtml?ln=primefaces-le-frog HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:11 +0100] "GET /PlantPlacesYAP/css/default.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:11 +0100] "GET /PlantPlacesYAP/RES_NOT_FOUND HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:11 +0100] "GET /PlantPlacesYAP/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2017:13:19:11 +0100] "GET /PlantPlacesYAP/css/styles.css HTTP/1.1" 304 -
